Table S1. Locations and ages of dated volcanic volcanic edifices along hotspot tracks.
------------------------------------------------------------------------------------------------------------
Location/Sample         Lat     Lon     Age     dAge    Method       Plate           Key Reference
------------------------------------------------------------------------------------------------------------
Hawaiian Track
SOTW9-58-1a/7          -25.53  -175.04  77.8    1.5     Ar/Ar        Pacific         Koppers et al. (2004)

New England Track
Corner Seamounts        34.90  -50.00   78.0    4.0     ssc          North American  Tucholke and Smoot (1990)
Nashville               35.30  -57.55   82.7    2.2     Ar/Ar        North American  Duncan (1984)
Michael                 36.32  -58.30   83.5    2.6     Ar/Ar        North American  Duncan (1984)
Allegheny               36.83  -58.82   83.8    2.0     Ar/Ar        North American  Duncan (1984)
Vogel                   37.37  -60.16   91.2    3.0     K-Ar         North American  Houghton et al. (1978)
Gosnold                 38.08  -62.20   90.8    1.6     Ar/Ar        North American  Duncan (1984)
Atlantis II             38.42  -63.25   96.0    3.7     Ar/Ar        North American  Duncan (1984)
Bear                    39.82  -67.43   103.4   4.2     Ar/Ar        North American  Duncan (1984)
White Mountains         43.50  -72.00   122.5   3.0     Ar/Ar        North American  Hubacher and Foland (1991)
Monteregian Hills       45.40  -73.00   124.0   1.0     Ar/Ar        North American  Foland et al. (1986)

Reunion Track
Reunion                -21.23   55.71   0.0     2.0     K-Ar         Somalian        McDougall (1971)
Mauritius              -20.30   57.50   7.5     7.5     K-Ar         Somalian        McDougall and Chamalaun (1969)
Industry well NB-1     -15.45   60.42   31.5    0.6     Ar/Ar        Somalian        Duncan and Hargraves (1990)
ODP Site 706           -13.11   61.37   32.9    1.4     Ar/Ar        Somalian        Duncan and Hargraves (1990)
Industry well SM-1     -9.80    60.15   47.5    7.2     Ar/Ar        Somalian        Duncan and Hargraves (1990)
ODP Site 707           -7.55    59.02   64.1    2.2     Ar/Ar        Somalian        Duncan and Hargraves (1990)
ODP Site 713           -4.19    73.39   49.6    1.2     Ar/Ar        Indian          Duncan and Hargraves (1990)
ODP Site 715            5.08    73.83   57.5    5.0     Ar/Ar        Indian          Duncan and Hargraves (1990)
Deccan Traps            20.00   75.00   65.5    1.0     Ar/Ar        Indian          Hofmann et al. (2000)

Tristan Track
Tristan (AG51-21)      -37.10  -12.30   0.64    0.6     Ar/Ar        African         O'Connor and le Roex (1992)
Gough (AG51-3)         -40.30  -10.00   0.58    0.2     Ar/Ar        African         O'Connor and le Roex (1992)
McNish (AG51-7)        -40.17  -8.55    8.1     1.2     Ar/Ar        African         O'Connor and le Roex (1992)
RSA (AG-12-3 )         -39.47  -6.22    18.8    0.2     Ar/Ar        African         O'Connor and le Roex (1992)
AII-93-3-1/25          -37.10  -7.78    29.9    1.4     Ar/Ar        African         O'Connor and Duncan (1990)
DSDP Site 359          -34.99  -4.50    40.3    2.0     K-Ar         African         Fodor et al. (1977)
AII-93-5-3             -34.29  -5.02    39.0    1.2     Ar/Ar        African         O'Connor and Duncan (1990)
AII-93-7-1/8-11        -34.50  -3.55    37.3    1.8     Ar/Ar        African         O'Connor and Duncan (1990)
AII-93-10-11           -34.34  -1.57    52.0    0.6     Ar/Ar        African         O'Connor and Duncan (1990)
AII-93-11-8            -32.97  -0.02    63.5    1.5     Ar/Ar        African         O'Connor and Duncan (1990)
V29-9-1                -32.63   1.12    50.3    0.8     Ar/Ar        African         O'Connor and Duncan (1990)
AII-93-14-1/14-19      -31.99   2.39    61.3    1.3     Ar/Ar        African         O'Connor and Duncan (1990)
DSDP Site 525A         -29.07   2.99    80.2    1.8     Ar/Ar        African         O'Connor and Duncan (1990)
DSDP Site 528          -28.53   2.32    77.5    1.8     Ar/Ar        African         O'Connor and Duncan (1990)
DSDP Site 363          -19.65   9.05    117.0   4.0     bst          African         Bolli et al. (1978)
Etendeka               -20.75   14.00   131.0   2.0     Ar/Ar        African         Renne et al. (1996)
DSDP Site 516F         -30.28  -35.29   88.0    8.9     Ar/Ar        South American  O'Connor and Duncan (1990)
Parana                 -23.50  -52.00   133.0   2.0     U-Pb, Ar/Ar  South American  de Assis Janasi et al. (2011)


